#Sample description: chromixs
#Sample: chromixs  c= 0 mg/ml  Code: chromixs
 5.127142e-002  1.711838e-002  1.623093e-004
 5.140206e-002  1.664770e-002  1.608105e-004
 5.153271e-002  1.681305e-002  1.612847e-004
 5.166336e-002  1.686220e-002  1.614103e-004
 5.179400e-002  1.653758e-002  1.613217e-004
 5.192465e-002  1.660645e-002  1.615033e-004
 5.205530e-002  1.683034e-002  1.619533e-004
 5.218594e-002  1.675136e-002  1.619985e-004
 5.231659e-002  1.617646e-002  1.619149e-004
 5.244724e-002  1.635962e-002  1.614347e-004
 5.257788e-002  1.631057e-002  1.611395e-004
 5.270853e-002  1.626958e-002  1.620325e-004
 5.283917e-002  1.633981e-002  1.616977e-004
 5.296982e-002  1.624543e-002  1.618018e-004
 5.310047e-002  1.608351e-002  1.614769e-004
 5.323111e-002  1.592093e-002  1.615463e-004
 5.336176e-002  1.574927e-002  1.615613e-004
 5.349241e-002  1.587790e-002  1.623406e-004
 5.362305e-002  1.582565e-002  1.604516e-004
 5.375370e-002  1.598390e-002  1.624880e-004
 5.388435e-002  1.591318e-002  1.615617e-004
 5.401499e-002  1.554939e-002  1.619202e-004
 5.414564e-002  1.543958e-002  1.613878e-004
 5.427629e-002  1.576863e-002  1.613401e-004
 5.440693e-002  1.550046e-002  1.623516e-004
 5.453758e-002  1.538950e-002  1.607739e-004
 5.466822e-002  1.575129e-002  1.616250e-004
 5.479887e-002  1.545586e-002  1.626397e-004
 5.492952e-002  1.527910e-002  1.611255e-004
 5.506016e-002  1.549049e-002  1.623777e-004
 5.519081e-002  1.543345e-002  1.612850e-004
 5.532146e-002  1.546049e-002  1.618170e-004
 5.545210e-002  1.527810e-002  1.625826e-004
 5.558275e-002  1.491438e-002  1.602987e-004
 5.571340e-002  1.500994e-002  1.621125e-004
 5.584404e-002  1.497997e-002  1.619896e-004
 5.597469e-002  1.514844e-002  1.609901e-004
 5.610533e-002  1.502759e-002  1.621598e-004
 5.623598e-002  1.478794e-002  1.612343e-004
 5.636663e-002  1.480795e-002  1.623967e-004
 5.649727e-002  1.469930e-002  1.621532e-004
 5.662792e-002  1.472353e-002  1.605191e-004
 5.675857e-002  1.509011e-002  1.628215e-004
 5.688921e-002  1.457692e-002  1.618978e-004
 5.701986e-002  1.429156e-002  1.606739e-004
 5.715051e-002  1.480188e-002  1.630757e-004
 5.728115e-002  1.439459e-002  1.606914e-004
 5.741180e-002  1.446104e-002  1.612250e-004
 5.754244e-002  1.426402e-002  1.617625e-004
 5.767309e-002  1.428607e-002  1.606161e-004
 5.780374e-002  1.434062e-002  1.619783e-004
 5.793438e-002  1.454141e-002  1.615678e-004
 5.806503e-002  1.438847e-002  1.605013e-004
 5.819568e-002  1.421251e-002  1.610373e-004
 5.832632e-002  1.403718e-002  1.593928e-004
 5.845697e-002  1.410962e-002  1.601771e-004
 5.858762e-002  1.413409e-002  1.599106e-004
 5.871826e-002  1.416409e-002  1.585304e-004
 5.884891e-002  1.396781e-002  1.599414e-004
 5.897956e-002  1.409088e-002  1.586314e-004
 5.911020e-002  1.400726e-002  1.588952e-004
 5.924085e-002  1.377664e-002  1.588857e-004
 5.937150e-002  1.389147e-002  1.577549e-004
 5.950214e-002  1.360635e-002  1.579024e-004
 5.963279e-002  1.367308e-002  1.571495e-004
 5.976343e-002  1.398595e-002  1.573059e-004
 5.989408e-002  1.390585e-002  1.581148e-004
 6.002473e-002  1.354172e-002  1.560874e-004
 6.015537e-002  1.344454e-002  1.561931e-004
 6.028602e-002  1.346829e-002  1.564049e-004
 6.041667e-002  1.355202e-002  1.555342e-004
 6.054731e-002  1.321748e-002  1.568942e-004
 6.067796e-002  1.322601e-002  1.550872e-004
 6.080861e-002  1.333777e-002  1.562430e-004
 6.093925e-002  1.309947e-002  1.559418e-004
 6.106990e-002  1.327793e-002  1.548579e-004
 6.120055e-002  1.326215e-002  1.560799e-004
 6.133119e-002  1.287975e-002  1.553607e-004
 6.146184e-002  1.341194e-002  1.548886e-004
 6.159248e-002  1.319832e-002  1.559267e-004
 6.172313e-002  1.297561e-002  1.539348e-004
 6.185378e-002  1.276963e-002  1.549230e-004
 6.198442e-002  1.302684e-002  1.552623e-004
 6.211507e-002  1.289201e-002  1.533755e-004
 6.224572e-002  1.308462e-002  1.554259e-004
 6.237636e-002  1.292098e-002  1.547808e-004
 6.250701e-002  1.267799e-002  1.538546e-004
 6.263766e-002  1.279851e-002  1.544512e-004
 6.276830e-002  1.289993e-002  1.536040e-004
 6.289895e-002  1.260917e-002  1.537326e-004
 6.302959e-002  1.229449e-002  1.536731e-004
 6.316024e-002  1.277870e-002  1.526588e-004
 6.329089e-002  1.235549e-002  1.543499e-004
 6.342153e-002  1.245533e-002  1.531147e-004
 6.355218e-002  1.237967e-002  1.530257e-004
 6.368283e-002  1.265246e-002  1.537430e-004
 6.381347e-002  1.222319e-002  1.517925e-004
 6.394412e-002  1.250777e-002  1.533169e-004
 6.407477e-002  1.211876e-002  1.526956e-004
 6.420541e-002  1.218995e-002  1.515784e-004
 6.433606e-002  1.221159e-002  1.532253e-004
 6.446671e-002  1.205512e-002  1.512220e-004
 6.459735e-002  1.202656e-002  1.518727e-004
 6.472800e-002  1.210703e-002  1.523627e-004
 6.485865e-002  1.222441e-002  1.514351e-004
 6.498929e-002  1.217259e-002  1.527016e-004
 6.511994e-002  1.181871e-002  1.510805e-004
 6.525058e-002  1.183492e-002  1.508935e-004
 6.538123e-002  1.184146e-002  1.518518e-004
 6.551188e-002  1.197162e-002  1.504876e-004
 6.564252e-002  1.203636e-002  1.513544e-004
 6.577317e-002  1.159694e-002  1.508697e-004
 6.590382e-002  1.163996e-002  1.502202e-004
 6.603446e-002  1.167792e-002  1.510458e-004
 6.616511e-002  1.130787e-002  1.494969e-004
 6.629575e-002  1.180799e-002  1.506514e-004
 6.642640e-002  1.142744e-002  1.501212e-004
 6.655705e-002  1.155344e-002  1.500381e-004
 6.668770e-002  1.135687e-002  1.500074e-004
 6.681834e-002  1.140932e-002  1.500281e-004
 6.694899e-002  1.129861e-002  1.489796e-004
 6.707963e-002  1.147883e-002  1.504423e-004
 6.721028e-002  1.142552e-002  1.484975e-004
 6.734093e-002  1.144359e-002  1.495153e-004
 6.747157e-002  1.122669e-002  1.494222e-004
 6.760222e-002  1.141994e-002  1.494387e-004
 6.773287e-002  1.125496e-002  1.495623e-004
 6.786351e-002  1.127571e-002  1.486336e-004
 6.799416e-002  1.103959e-002  1.487314e-004
 6.812480e-002  1.096426e-002  1.486338e-004
 6.825545e-002  1.091570e-002  1.481389e-004
 6.838610e-002  1.138753e-002  1.490391e-004
 6.851675e-002  1.104603e-002  1.482880e-004
 6.864739e-002  1.126824e-002  1.484763e-004
 6.877804e-002  1.101329e-002  1.488281e-004
 6.890868e-002  1.081479e-002  1.476465e-004
 6.903933e-002  1.082320e-002  1.480037e-004
 6.916998e-002  1.064954e-002  1.477994e-004
 6.930062e-002  1.052773e-002  1.471772e-004
 6.943127e-002  1.081590e-002  1.475045e-004
 6.956192e-002  1.045791e-002  1.466331e-004
 6.969256e-002  1.087252e-002  1.480839e-004
 6.982321e-002  1.035645e-002  1.472080e-004
 6.995385e-002  1.037188e-002  1.455083e-004
 7.008450e-002  1.068186e-002  1.477630e-004
 7.021515e-002  1.029318e-002  1.464529e-004
 7.034579e-002  1.044913e-002  1.461595e-004
 7.047644e-002  1.055739e-002  1.472094e-004
 7.060709e-002  1.042634e-002  1.463584e-004
 7.073773e-002  1.021773e-002  1.457764e-004
 7.086838e-002  1.026942e-002  1.468293e-004
 7.099903e-002  1.046442e-002  1.455431e-004
 7.112967e-002  1.027069e-002  1.461562e-004
 7.126032e-002  1.010027e-002  1.450721e-004
 7.139097e-002  1.015497e-002  1.454634e-004
 7.152161e-002  1.018111e-002  1.454641e-004
 7.165226e-002  1.003647e-002  1.449298e-004
 7.178290e-002  1.003559e-002  1.451859e-004
 7.191355e-002  1.016133e-002  1.459401e-004
 7.204420e-002  9.948666e-003  1.441189e-004
 7.217484e-002  9.724098e-003  1.447757e-004
 7.230549e-002  9.970783e-003  1.446290e-004
 7.243614e-002  9.736579e-003  1.441488e-004
 7.256678e-002  9.894224e-003  1.450220e-004
 7.269743e-002  9.628831e-003  1.434564e-004
 7.282808e-002  9.823814e-003  1.444735e-004
 7.295872e-002  9.634264e-003  1.434350e-004
 7.308937e-002  9.625643e-003  1.439349e-004
 7.322002e-002  9.405077e-003  1.438428e-004
 7.335066e-002  9.435028e-003  1.431118e-004
 7.348131e-002  9.496779e-003  1.428928e-004
 7.361196e-002  9.445730e-003  1.439240e-004
 7.374260e-002  9.497793e-003  1.426398e-004
 7.387325e-002  9.615922e-003  1.438816e-004
 7.400389e-002  9.322003e-003  1.427842e-004
 7.413454e-002  9.130001e-003  1.422913e-004
 7.426519e-002  9.330142e-003  1.433892e-004
 7.439583e-002  9.433773e-003  1.426922e-004
 7.452648e-002  9.132571e-003  1.424528e-004
 7.465713e-002  9.172129e-003  1.427189e-004
 7.478777e-002  9.024496e-003  1.420056e-004
 7.491842e-002  9.189466e-003  1.427827e-004
 7.504906e-002  9.091936e-003  1.415084e-004
 7.517971e-002  9.336557e-003  1.425920e-004
 7.531036e-002  9.156164e-003  1.424544e-004
 7.544101e-002  9.025438e-003  1.413120e-004
 7.557165e-002  8.961067e-003  1.415626e-004
 7.570230e-002  8.973369e-003  1.417970e-004
 7.583294e-002  8.767273e-003  1.414012e-004
 7.596359e-002  8.688744e-003  1.413204e-004
 7.609424e-002  8.942915e-003  1.408576e-004
 7.622488e-002  8.795886e-003  1.416071e-004
